run_name,model,test_loss,test_acc,test_f1,test_auc,best_val_auc,num_epochs,batch_size,num_frames,img_size,temporal_sampling,clip_period,ef_threshold,lr,backbone_lr,weight_decay,dropout,grad_clip,grad_accum_steps,warmup_frac,freeze_epochs,pretrained,total_runtime_sec,augment
baseline_64f_112px_clipp1_pretrained,baseline,0.3987897065064826,0.8253719655442443,0.879394267171444,0.9083545557441992,0.9011641399184652,15,8,64,112,clip,1,50.0,0.0001,,0.0001,0.3,,1,0.0,0,True,4738.495548009872,
baseline_64f_112px_clipp1_pretrained_seed123,baseline,0.4257189962216532,0.874706342991386,0.9206349206349206,0.8996852009054894,0.9016248081992028,15,8,64,112,clip,1,50.0,0.0001,,0.0001,0.3,,1,0.0,0,True,648.1594581604004,
baseline_64f_112px_clipp1_pretrained_seed2024,baseline,0.5007287178016446,0.8418167580266249,0.8924387646432375,0.9114141199773628,0.909508124040996,15,8,64,112,clip,1,50.0,0.0001,,0.0001,0.3,,1,0.0,0,True,640.4531428813934,
baseline_64f_112px_clipp1_pretrained_seed1,baseline,0.4773990446548491,0.8731401722787784,0.9178498985801216,0.9036714770797964,0.9025115080478402,15,8,64,112,clip,1,50.0,0.0001,,0.0001,0.3,,1,0.0,0,True,642.0792603492737,False
baseline_64f_112px_clipp1_pretrained_seed2,baseline,0.4016724616965934,0.8598277212216131,0.9072058061171592,0.9112195812110924,0.9116244271953614,15,8,64,112,clip,1,50.0,0.0001,,0.0001,0.3,,1,0.0,0,True,644.1398539543152,False
baseline_64f_112px_clipp1_pretrained_seed3,baseline,0.4400798441519845,0.8778386844166014,0.922077922077922,0.9112584889643464,0.9024249162657468,15,8,64,112,clip,1,50.0,0.0001,,0.0001,0.3,,1,0.0,0,True,643.466233253479,False
baseline_64f_112px_clipp1_pretrained_seed4,baseline,0.3733447487921853,0.8535630383711824,0.902145473574045,0.9151492642897566,0.9008628005167798,15,8,64,112,clip,1,50.0,0.0001,,0.0001,0.3,,1,0.0,0,True,647.074686050415,False
baseline_64f_112px_clipp1_pretrained_seed5,baseline,0.3915205019451065,0.8402505873140172,0.8925184404636459,0.9047007640067912,0.904461554980586,15,8,64,112,clip,1,50.0,0.0001,,0.0001,0.3,,1,0.0,0,True,643.5254635810852,False
baseline_64f_112px_clipp1_pretrained_seed7,baseline,0.6191203716628912,0.8715740015661707,0.9189723320158104,0.9070529145444256,0.8993145394529477,15,8,64,112,clip,1,50.0,0.0001,,0.0001,0.3,,1,0.0,0,True,652.8560938835144,False
baseline_64f_112px_clipp1_pretrained_seed8,baseline,0.5215980892661104,0.841033672670321,0.8923076923076924,0.9143923316355406,0.9003744228657724,15,8,64,112,clip,1,50.0,0.0001,,0.0001,0.3,,1,0.0,0,True,652.8129260540009,False
baseline_64f_112px_clipp1_pretrained_seed9,baseline,0.4159163247003346,0.8527799530148786,0.901673640167364,0.908046830786644,0.903515972720125,15,8,64,112,clip,1,50.0,0.0001,,0.0001,0.3,,1,0.0,0,True,656.9385135173798,False
baseline_64f_112px_clipp1_pretrained_seed10,baseline,0.4090958393310884,0.8621769772905247,0.9090909090909092,0.9082095359366156,0.914700167295323,15,8,64,112,clip,1,50.0,0.0001,,0.0001,0.3,,1,0.0,0,True,629.5064740180969,False
