run_name,model,test_loss,test_acc,test_f1,test_auc,best_val_auc,num_epochs,batch_size,num_frames,img_size,temporal_sampling,clip_period,ef_threshold,lr,backbone_lr,weight_decay,dropout,grad_clip,grad_accum_steps,warmup_frac,freeze_epochs,pretrained,total_runtime_sec,augment
cnn_lstm_64f_112px_clipp1_pretrained,cnn_lstm,0.4771886531616574,0.860610806577917,0.9150763358778626,0.8998443689869835,0.8973887382191881,15,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,,1,0.0,0,True,5467.482691287994,
cnn_lstm_64f_112px_clipp1_pretrained_seed123,cnn_lstm,0.4693382654416381,0.8598277212216131,0.9076843733883444,0.9080291454442556,0.903034522411685,15,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,,1,0.0,0,True,660.5100111961365,
cnn_lstm_64f_112px_clipp1_pretrained_seed2024,cnn_lstm,0.3958626148657773,0.874706342991386,0.9196787148594378,0.8979485002829655,0.9026812279407436,15,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,,1,0.0,0,True,654.9699900150299,
cnn_lstm_64f_112px_clipp1_pretrained_seed1,cnn_lstm,0.4219060378074762,0.8191072826938136,0.8760064412238325,0.8985922467458971,0.9015867078150814,15,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,,1,0.0,0,True,652.2970468997955,False
cnn_lstm_64f_112px_clipp1_pretrained_seed2,cnn_lstm,0.455745000974184,0.8770555990602976,0.9217737917289488,0.9042144170911148,0.906383892543062,15,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,,1,0.0,0,True,645.9991929531097,False
cnn_lstm_64f_112px_clipp1_pretrained_seed3,cnn_lstm,0.394780480765979,0.8472983555207517,0.8991205380237972,0.8937181663837013,0.903796530094108,15,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,,1,0.0,0,True,644.3698341846466,False
cnn_lstm_64f_112px_clipp1_pretrained_seed4,cnn_lstm,0.3730816097467694,0.8731401722787784,0.917766497461929,0.9115874363327674,0.903515972720125,15,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,,1,0.0,0,True,650.143426656723,False
cnn_lstm_64f_112px_clipp1_pretrained_seed5,cnn_lstm,0.371306643684919,0.8715740015661707,0.9154639175257732,0.9134833050367854,0.9076204231913574,15,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,,1,0.0,0,True,642.2668309211731,False
cnn_lstm_64f_112px_clipp1_pretrained_seed6,cnn_lstm,0.460985677140293,0.8488645262333594,0.9002583979328166,0.8967812676853424,0.8996470518961869,15,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,,1,0.0,0,True,645.8756184577942,False
cnn_lstm_64f_112px_clipp1_pretrained_seed7,cnn_lstm,0.3736525868870078,0.851213782302271,0.900523560209424,0.9171052631578948,0.9061171898542142,15,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,,1,0.0,0,True,647.8128175735474,False
cnn_lstm_64f_112px_clipp1_pretrained_seed8,cnn_lstm,0.3852764384510373,0.8715740015661707,0.9182452642073778,0.9064127051499716,0.9013823512093408,15,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,,1,0.0,0,True,644.8653130531311,False
cnn_lstm_64f_112px_clipp1_pretrained_seed9,cnn_lstm,0.4469107898957181,0.8277212216131559,0.8835978835978836,0.9036113469156764,0.901818773791092,15,4,64,112,clip,1,50.0,0.0001,,0.0001,0.3,,1,0.0,0,True,665.3424868583679,False
