run_name,model,test_loss,test_acc,test_f1,test_auc,best_val_auc,num_epochs,batch_size,num_frames,img_size,temporal_sampling,clip_period,ef_threshold,lr,backbone_lr,weight_decay,dropout,grad_clip,grad_accum_steps,warmup_frac,freeze_epochs,pretrained,total_runtime_sec,augment
swin3d_32f_224px_clipp2_pretrained,swin3d,0.4304508746631451,0.8692247454972593,0.9162067235323632,0.912358517260894,0.9092656670511342,15,2,32,224,clip,2,50.0,0.001,1e-05,0.0001,0.3,1.0,8,0.1,2,True,12131.605642318726,
swin3d_32f_224px_clipp2_pretrained_seed123,swin3d,0.3786329464577962,0.87548942834769,0.9214814814814816,0.9124434069043575,0.9092795217362692,15,2,32,224,clip,2,50.0,0.001,1e-05,0.0001,0.3,1.0,8,0.1,2,True,3479.458251476288,
swin3d_32f_224px_clipp2_pretrained_seed2024,swin3d,0.4239536146154606,0.8692247454972593,0.9169567379413228,0.9154463780418788,0.9102354950105817,15,2,32,224,clip,2,50.0,0.001,1e-05,0.0001,0.3,1.0,8,0.1,2,True,3474.1903705596924,
swin3d_32f_224px_clipp2_pretrained_seed1,swin3d,0.4167632743069415,0.8707909162098669,0.915859255481897,0.9143994057724958,0.9056530579021927,15,2,32,224,clip,2,50.0,0.001,1e-05,0.0001,0.3,1.0,8,0.1,2,True,3495.44454741478,False
swin3d_32f_224px_clipp2_pretrained_seed2,swin3d,0.421195017620107,0.8770555990602976,0.9218516674962668,0.9178056027164686,0.9120954864899502,15,2,32,224,clip,2,50.0,0.001,1e-05,0.0001,0.3,1.0,8,0.1,2,True,3571.094002008438,False
swin3d_32f_224px_clipp2_pretrained_seed3,swin3d,0.4344731283017523,0.87548942834769,0.9208561473369836,0.9164862761743068,0.911378506534216,15,2,32,224,clip,2,50.0,0.001,1e-05,0.0001,0.3,1.0,8,0.1,2,True,3566.85705947876,False
swin3d_32f_224px_clipp2_pretrained_seed4,swin3d,0.4057183920942027,0.8731401722787784,0.9186746987951808,0.918470571590266,0.9112867192451968,15,2,32,224,clip,2,50.0,0.001,1e-05,0.0001,0.3,1.0,8,0.1,2,True,3557.191494226456,False
swin3d_32f_224px_clipp2_pretrained_seed5,swin3d,0.4105824994989185,0.8480814408770556,0.8980021030494216,0.9139820316921335,0.905476410666722,15,2,32,224,clip,2,50.0,0.001,1e-05,0.0001,0.3,1.0,8,0.1,2,True,3505.493999481201,False
swin3d_32f_224px_clipp2_pretrained_seed6,swin3d,0.4418722785788617,0.87548942834769,0.921326076199901,0.9165711658177702,0.9122877202461978,15,2,32,224,clip,2,50.0,0.001,1e-05,0.0001,0.3,1.0,8,0.1,2,True,3468.6243448257446,False
swin3d_32f_224px_clipp2_pretrained_seed7,swin3d,0.4399104394594482,0.87548942834769,0.920934858279463,0.913447934352009,0.9095323697399822,15,2,32,224,clip,2,50.0,0.001,1e-05,0.0001,0.3,1.0,8,0.1,2,True,3517.487039089203,False
swin3d_32f_224px_clipp2_pretrained_seed8,swin3d,0.455850927045749,0.8707909162098669,0.9188391539596656,0.9182017543859649,0.9093280131342416,15,2,32,224,clip,2,50.0,0.001,1e-05,0.0001,0.3,1.0,8,0.1,2,True,3482.9805188179016,False
swin3d_32f_224px_clipp2_pretrained_seed9,swin3d,0.4441458657974542,0.8770555990602976,0.9216175736395408,0.9162917374080362,0.9103116957788238,15,2,32,224,clip,2,50.0,0.001,1e-05,0.0001,0.3,1.0,8,0.1,2,True,3485.067831993103,False
